Date,ACWI,FEZ,SPY,HYG,LQD,TLT,USO,GLD
2015-02-21,50.81469345,30.2339344,179.193924,57.06081772,89.91664886,101.9695816,149.1999969,115.2799988
2015-02-22,50.81469345,30.2339344,179.193924,57.06081772,89.91664886,101.9695816,149.1999969,115.2799988
2015-02-23,50.68143463,30.02575111,179.1684723,57.10451126,90.2216568,103.1380539,144.8800049,115.4300003
2015-02-24,50.9146347,30.37272644,179.6774597,57.16066742,90.80942535,104.491806,144.3200073,115.2600021
2015-02-25,50.93962097,30.33416748,179.5247955,57.34796524,90.89128113,104.9431152,149.1999969,115.6999969
2015-02-26,50.85633469,30.15682983,179.3127289,57.33543777,90.40023041,103.5087585,144.2400055,116.0699997
2015-02-27,50.73139572,30.27248955,178.7019653,57.34796524,90.61599731,104.3790359,144.8000031,116.1600037
2015-02-28,50.73139572,30.27248955,178.7019653,57.34796524,90.61599731,104.3790359,144.8000031,116.1600037
2015-03-01,50.73139572,30.27248955,178.7019653,57.34796524,90.61599731,104.3790359,144.8000031,116.1600037
2015-03-02,50.93129349,30.33416748,179.8301697,57.3372879,89.83050537,102.434845,146.5599976,115.6800003
2015-03-03,50.66477585,30.04116821,179.0921021,57.1742897,89.77825165,102.0633926,147.9199982,115.4700012
2015-03-04,50.43156052,29.97948074,178.3371429,57.06773758,89.71858978,102.0956955,152.0800018,115.1100006
2015-03-05,50.48153305,30.06429863,178.5322571,57.1742897,89.8379364,101.9664764,149.6799927,115
2015-03-06,49.7985611,29.43972015,176.0213165,56.8106842,88.88312531,99.71386719,145.9199982,111.8600006
2015-03-07,49.7985611,29.43972015,176.0213165,56.8106842,88.88312531,99.71386719,145.9199982,111.8600006
2015-03-08,49.7985611,29.43972015,176.0213165,56.8106842,88.88312531,99.71386719,145.9199982,111.8600006
2015-03-09,49.86519241,29.56310081,176.7508087,56.6916008,89.2411499,100.6343231,146.8000031,111.9700012
2015-03-10,48.95734024,28.82287025,173.8835907,56.47216797,89.38291931,101.9584351,143.2799988,111.4199982
2015-03-11,48.98232651,29.03105354,173.4763947,56.62888336,89.8379364,102.7012177,142.1600037,110.75
2015-03-12,49.55702209,29.25466728,175.6819763,56.741745,89.74842072,102.6285858,139.5200043,110.7200012
2015-03-13,49.24052811,29.04648018,174.6046143,56.54738617,89.49477386,102.3136902,134.3999939,110.8799973
2015-03-14,49.24052811,29.04648018,174.6046143,56.54738617,89.49477386,102.3136902,134.3999939,110.8799973
2015-03-15,49.24052811,29.04648018,174.6046143,56.54738617,89.49477386,102.3136902,134.3999939,110.8799973
2015-03-16,49.83187103,29.55540085,176.9375,56.49098969,89.58433533,103.2987595,130.8000031,110.8099976
2015-03-17,49.78190613,29.42430687,176.411499,56.20885468,89.73350525,104.1545639,127.6800003,110.2099991
2015-03-18,50.58981323,29.89466476,178.5322571,56.71040344,90.83750916,106.1649857,134.0800018,112.3700027
2015-03-19,50.15670776,29.44742966,177.7178802,56.25897598,90.37504578,105.6240387,128.6399994,112.2900009
2015-03-20,50.90629578,30.33056068,179.2865601,56.69784927,90.62872314,106.18116,131.4400024,113.5699997
2015-03-21,50.90629578,30.33056068,179.2865601,56.69784927,90.62872314,106.18116,131.4400024,113.5699997
